# ── Core ──────────────────────────────────────────────────────────────────
python-dotenv>=1.0.0

# ── Document ingestion ─────────────────────────────────────────────────────
pypdf>=4.0.0              # PDF loading
python-docx>=1.1.0        # DOCX loading
beautifulsoup4>=4.12.0    # HTML parsing
lxml>=5.0.0               # HTML parser backend

# ── Embeddings ─────────────────────────────────────────────────────────────
sentence-transformers>=3.0.0   # local embeddings, no API key needed
torch>=2.0.0                   # required by sentence-transformers

# ── Vector store ───────────────────────────────────────────────────────────
chromadb>=0.5.0           # local vector database

# ── LLM providers (install the one you use) ────────────────────────────────
anthropic>=0.30.0         # Claude API
openai>=1.30.0            # OpenAI API (optional)

# ── Testing ────────────────────────────────────────────────────────────────
pytest>=8.0.0
